Coder,Guru,Secular Guru,Percentage,Galaxy Brainness,Cultishness,Anti-Establishment,Grievance Mongering,Self-Aggrandisement and Narcicissm,Cassandra Complex,Revolutionary Theories,Pseudo Profound Bullshit,Conspiracy Mongering,Profiteering,Moral Grandstanding,Average,Sum,SD,Monomania,Shilling Supplements,Broicity,Charisma,Neologism,Strategic Disclaimers,Rebranding Theories,Loquaciousness,Never admitting error
CK,Eric Weinstein,,93,5,5,5,5,5,5,5,5,5,2,5,4.7,52,0.9,,,,,,,,,
CK,Bret Weinstein,,93,4,4,5,5,5,5,5,5,5,4,5,4.7,52,0.5,,,,,,,,,
CK,James Lindsay,,84,3,5,4,5,5,5,4,4,5,3,5,4.4,48,0.8,,,,No,,,,,
CK,Jordan Peterson,,82,3,4,4,5,4,5,4,5,4,4,5,4.3,47,0.6,,,,,,,,,
CK,JP Sears,,66,2,5,5,5,3,4,2,2,5,4,3,3.6,40,1.3,,,,,,,,,
CK,Rutger Bregman,,30,2,1,2,2,2,3,3,2,2,1,4,2.2,24,0.7,,,,,,,,,
CK,Russell Brand,,70,3,3,5,3,4,3,4,4,4,4,5,3.8,42,0.7,,1,,,,,,,
CK,Scott Adams,,82,4,5,5,5,5,5,4,4,4,4,2,4.3,47,0.5,,1,,,,,,,
CK,Contrapoints,,16,1,2,4,2,1,1,1,2,1,1,2,1.6,18,1,,,,,,,,,
CK,Douglas Murray,,57,3,3,4,3,4,4,2,3,3,2,5,3.3,36,0.7,,,,,,,,,
CK,Nassim Nicholas Taleb,,55,4,2,3,4,5,4,5,3,2,1,2,3.2,35,1.3,,,,,,,,,
CK,Dave Rubin,,72,2,5,5,5,3.5,5,1,1,5,5,5,3.9,42.5,1.8,,1,,,,,,,1
CK,Ibram X Kendi,,36,3,4,3,2,2,2,3,1,2,1,4,2.5,27,0.9,,,,,,,,,
CK,Gywenth Paltrow,,52,3,4,4,2,2,1,2,5,2,5,4,3.1,34,1.4,,,,,,,,,
CK,Michael O' Fallon,,61,3,4,4,4,3,5,2,2,5,1,5,3.5,38,1.3,,,,,,,,,
CK,Heather Heying,,64,3,2,5,2,5,4,2,4,5,2,5,3.5,39,1.3,,,,,,,,,
CK,Anthony DeMello,,24,2,1,2.5,1,2,1,4,2,2,1,3,2,21.5,0.9,,,,,,,,,
CK,Carl Sagan,,9,4,1,1,1,1,2,1,1,1,1,1,1.4,15,1,,,,,,,,,
CK,Gad Saad,,74,4,3,4,5,5,4,5,4,3,3.5,3,4,43.5,0.8,,,1,,,,,,
CK,Jordan Hall,,82,4,4,5,3,5,4,4,5,4,4,5,4.3,47,0.6,,1,1,,,,,,
CK,Mikhaila Peterson,,45,1.5,1.5,4,3,2.5,1.5,3.5,2,2.5,5,4,2.8,31,1.2,,1,,,,,,,
CK,Brene Brown,,23,1,1,1.5,1,2.5,1,5,3,1,1,3,1.9,21,1.3,,,,1,,,,,
CK,Joe Rogan,,89,5,5,5,5,5,5,4,2,5,4,5,4.5,50,1,,1,2,1,,,,,
CK,Peter McCullough,,90,3,5,5,5,5,5,5,5,5,2.5,5,4.6,50.5,1,,1,,1,,,,,
CK,Robert Malone,,90,3,5,5,5,5,5,5,5,5,2.5,5,4.6,50.5,1,,1,,1,,,,,
CK,Robert Wright,,20,2,1,3.5,2,1,2,1.5,1,2.5,1,3,1.8,20,0.8,,,,1,,,,,
CK,Reverend Moon,,93,4,5,3,5,5,5,5,5,5,5,5,4.7,52,0.7,,,,,1,,1,,
CK,Jaron Lanier,,27,1,1,3.5,1,2,3,3,1.5,2,1,4,2.1,23,1,,,,1,1,,,,
CK,Lex Fridman,,38,3,2,3,1,2.5,2,2.5,2,2,2.5,5,2.5,27.5,0.6,,1,1,,,1,1,,
CK,Jonathan Haidt,,17,1,1,2,1,1,4.5,1.5,1,1.5,1,3,1.7,18.5,1.1,,,,1,,1,1,,
