"","Class","Guru"
"1","Public Intellectuals","Andrew Huberman"
"2","Public Intellectuals","Anna Khachiyan"
"3","Public Intellectuals","Anthony DeMello"
"4","Public Intellectuals","Bill Maher"
"5","Public Intellectuals","Brene Brown"
"6","Public Intellectuals","Carl Sagan"
"7","Public Intellectuals","Christopher Hitchens"
"8","Public Intellectuals","Contrapoints"
"9","Public Intellectuals","Daniel Dennett"
"10","Public Intellectuals","Dasha Nekrasova"
"11","Public Intellectuals","Destiny"
"12","Public Intellectuals","Gabor Mate"
"13","Public Intellectuals","Gywenth Paltrow"
"14","Public Intellectuals","Ibram X Kendi"
"15","Public Intellectuals","Jaron Lanier"
"16","Public Intellectuals","John Vervaeke"
"17","Public Intellectuals","Jonathan Haidt"
"18","Public Intellectuals","Lex Fridman"
"19","Public Intellectuals","Mick West"
"20","Public Intellectuals","Mikhaila Peterson"
"21","Public Intellectuals","Naomi Klein (2025)"
"22","Public Intellectuals","Noam Chomsky"
"23","Public Intellectuals","Oprah Winfrey"
"24","Public Intellectuals","Peter Attia"
"25","Public Intellectuals","Richard Dawkins*"
"26","Public Intellectuals","Robert Wright"
"27","Public Intellectuals","Rutger Bregman"
"28","Public Intellectuals","Sam Harris"
"29","Public Intellectuals","Sean Carroll"
"30","Public Intellectuals","Slavoj Zizek"
"31","Public Intellectuals","Yuval Noah Harari"
"32","Big Brains","Curtis Yarvin"
"33","Big Brains","Daniel Schmactenberger"
"34","Big Brains","Douglas Murray"
"35","Big Brains","Dr. K"
"36","Big Brains","Eliezer Yudkowsky"
"37","Big Brains","Gad Saad"
"38","Big Brains","Heather Heying"
"39","Big Brains","Jamie Wheal"
"40","Big Brains","Jordan Hall (2)"
"41","Big Brains","Nassim Nicholas Taleb"
"42","Big Brains","Peter Thiel"
"43","Big Brains","Russell Brand"
"44","Critics","Dave Rubin"
"45","Critics","Gary Stevenson (2025)"
"46","Critics","Hasan Piker"
"47","Critics","JP Sears"
"48","Critics","Konstan Kisin"
"49","Critics","Michael O' Fallon"
"50","Critics","Michael Shellenberger (2025)"
"51","Critics","Robin DiAngelo"
"52","Critics","Sabine Hossenfelder"
"53","Messiahs","Bret Weinstein"
"54","Messiahs","Bret Weinstein (2025)"
"55","Messiahs","Chris Langan"
"56","Messiahs","Elon Musk"
"57","Messiahs","Eric Weinstein"
"58","Messiahs","James Lindsay"
"59","Messiahs","Joe Rogan"
"60","Messiahs","Jordan Hall"
"61","Messiahs","Jordan Peterson"
"62","Messiahs","Jordan Peterson (2025)"
"63","Messiahs","Peter McCullough"
"64","Messiahs","Reverend Moon"
"65","Messiahs","Robert Malone"
"66","Messiahs","Russell Brand (2025)"
"67","Messiahs","Scott Adams"
